frame_id,scene_category,condition,semantic_class,semantic_source,input_presence,map_presence,point_count,confidence,assigned_resolution,importance,object_or_region_id
6d1d793b68b24165be5755a54054c82a,dense,original,vehicle,annotation,True,True,3,NaN (non-ML source),0.05,0.800618,6d1d793b68b24165be5755a54054c82a_r78
6d1d793b68b24165be5755a54054c82a,dense,original,vehicle,annotation,True,True,6,NaN (non-ML source),0.05,0.782768,6d1d793b68b24165be5755a54054c82a_r79
6d1d793b68b24165be5755a54054c82a,dense,original,vehicle,annotation,True,True,4,NaN (non-ML source),0.05,0.734648,6d1d793b68b24165be5755a54054c82a_r80
6d1d793b68b24165be5755a54054c82a,dense,original,vehicle,annotation,True,True,6,NaN (non-ML source),0.05,0.751524,6d1d793b68b24165be5755a54054c82a_r81
b26e791522294bec90f86fd72226e35c,many_vehicles,original,pedestrian_vru,annotation,True,True,1,NaN (non-ML source),0.1,0.69184,b26e791522294bec90f86fd72226e35c_r82
b26e791522294bec90f86fd72226e35c,many_vehicles,original,pedestrian_vru,annotation,True,True,2,NaN (non-ML source),0.1,0.692527,b26e791522294bec90f86fd72226e35c_r83
b26e791522294bec90f86fd72226e35c,many_vehicles,original,pedestrian_vru,annotation,True,True,3,NaN (non-ML source),0.05,0.756673,b26e791522294bec90f86fd72226e35c_r84
b26e791522294bec90f86fd72226e35c,many_vehicles,original,vehicle,annotation,True,True,3,NaN (non-ML source),0.05,0.729844,b26e791522294bec90f86fd72226e35c_r85
b26e791522294bec90f86fd72226e35c,many_vehicles,original,static_manmade,annotation,True,True,1,NaN (non-ML source),0.1,0.510485,b26e791522294bec90f86fd72226e35c_r86
b26e791522294bec90f86fd72226e35c,many_vehicles,original,vehicle,annotation,True,True,8,NaN (non-ML source),0.05,0.744377,b26e791522294bec90f86fd72226e35c_r87
b26e791522294bec90f86fd72226e35c,many_vehicles,original,vehicle,annotation,True,True,2,NaN (non-ML source),0.05,0.723673,b26e791522294bec90f86fd72226e35c_r88
b26e791522294bec90f86fd72226e35c,many_vehicles,original,vehicle,annotation,True,True,3,NaN (non-ML source),0.05,0.746316,b26e791522294bec90f86fd72226e35c_r89
b26e791522294bec90f86fd72226e35c,many_vehicles,original,static_manmade,annotation,True,True,1,NaN (non-ML source),0.1,0.491601,b26e791522294bec90f86fd72226e35c_r90
b26e791522294bec90f86fd72226e35c,many_vehicles,original,static_manmade,annotation,True,True,1,NaN (non-ML source),0.1,0.498305,b26e791522294bec90f86fd72226e35c_r91
b26e791522294bec90f86fd72226e35c,many_vehicles,original,static_manmade,annotation,True,True,3,NaN (non-ML source),0.1,0.497064,b26e791522294bec90f86fd72226e35c_r92
b26e791522294bec90f86fd72226e35c,many_vehicles,original,static_manmade,annotation,True,True,1,NaN (non-ML source),0.1,0.500679,b26e791522294bec90f86fd72226e35c_r93
b26e791522294bec90f86fd72226e35c,many_vehicles,original,static_manmade,annotation,True,True,3,NaN (non-ML source),0.1,0.504827,b26e791522294bec90f86fd72226e35c_r94
b26e791522294bec90f86fd72226e35c,many_vehicles,original,static_manmade,annotation,True,True,1,NaN (non-ML source),0.1,0.507778,b26e791522294bec90f86fd72226e35c_r95
b26e791522294bec90f86fd72226e35c,many_vehicles,original,static_manmade,annotation,True,True,4,NaN (non-ML source),0.1,0.512401,b26e791522294bec90f86fd72226e35c_r96
b26e791522294bec90f86fd72226e35c,many_vehicles,original,static_manmade,annotation,True,True,1,NaN (non-ML source),0.1,0.515536,b26e791522294bec90f86fd72226e35c_r97
b26e791522294bec90f86fd72226e35c,many_vehicles,original,static_manmade,annotation,True,True,7,NaN (non-ML source),0.1,0.528447,b26e791522294bec90f86fd72226e35c_r98
b26e791522294bec90f86fd72226e35c,many_vehicles,original,static_manmade,annotation,True,True,2,NaN (non-ML source),0.1,0.559611,b26e791522294bec90f86fd72226e35c_r99
b26e791522294bec90f86fd72226e35c,many_vehicles,original,static_manmade,annotation,True,True,2,NaN (non-ML source),0.1,0.531624,b26e791522294bec90f86fd72226e35c_r100
b26e791522294bec90f86fd72226e35c,many_vehicles,original,static_manmade,annotation,True,True,5,NaN (non-ML source),0.1,0.535745,b26e791522294bec90f86fd72226e35c_r101
b26e791522294bec90f86fd72226e35c,many_vehicles,original,static_manmade,annotation,True,True,2,NaN (non-ML source),0.1,0.538977,b26e791522294bec90f86fd72226e35c_r102
b26e791522294bec90f86fd72226e35c,many_vehicles,original,pedestrian_vru,annotation,True,True,14,NaN (non-ML source),0.05,0.851022,b26e791522294bec90f86fd72226e35c_r103
b26e791522294bec90f86fd72226e35c,many_vehicles,original,static_manmade,annotation,True,True,6,NaN (non-ML source),0.1,0.543136,b26e791522294bec90f86fd72226e35c_r104
b26e791522294bec90f86fd72226e35c,many_vehicles,original,static_manmade,annotation,True,True,2,NaN (non-ML source),0.1,0.546103,b26e791522294bec90f86fd72226e35c_r105
b26e791522294bec90f86fd72226e35c,many_vehicles,original,static_manmade,annotation,True,True,1,NaN (non-ML source),0.1,0.544897,b26e791522294bec90f86fd72226e35c_r106
b26e791522294bec90f86fd72226e35c,many_vehicles,original,static_manmade,annotation,True,True,6,NaN (non-ML source),0.1,0.548696,b26e791522294bec90f86fd72226e35c_r107
b26e791522294bec90f86fd72226e35c,many_vehicles,original,vehicle,annotation,True,True,49,NaN (non-ML source),0.05,0.82966,b26e791522294bec90f86fd72226e35c_r108
b26e791522294bec90f86fd72226e35c,many_vehicles,original,vehicle,annotation,True,True,4,NaN (non-ML source),0.05,0.819218,b26e791522294bec90f86fd72226e35c_r109
b26e791522294bec90f86fd72226e35c,many_vehicles,original,vehicle,annotation,True,True,3,NaN (non-ML source),0.05,0.764763,b26e791522294bec90f86fd72226e35c_r110
b26e791522294bec90f86fd72226e35c,many_vehicles,original,vehicle,annotation,True,True,8,NaN (non-ML source),0.05,0.769827,b26e791522294bec90f86fd72226e35c_r111
b26e791522294bec90f86fd72226e35c,many_vehicles,original,pedestrian_vru,annotation,True,True,1,NaN (non-ML source),0.05,0.708271,b26e791522294bec90f86fd72226e35c_r112
b26e791522294bec90f86fd72226e35c,many_vehicles,original,static_manmade,annotation,True,True,2,NaN (non-ML source),0.1,0.550677,b26e791522294bec90f86fd72226e35c_r113
b26e791522294bec90f86fd72226e35c,many_vehicles,original,vehicle,annotation,True,True,106,NaN (non-ML source),0.05,0.824269,b26e791522294bec90f86fd72226e35c_r114
