configuration_id,weight_config,threshold_config,file,frame_id,scene_category,condition,map_cells,fine_cells,medium_cells,coarse_cells,mean_importance,mean_resolution,mapping_latency_ms,total_equiv_latency_ms,fps_equiv,success
W_BASE+THRESH_A,W_BASE,THRESH_A,dc4c80e8a1534ff8a3eb80307341161c_LIDAR_TOP_xyzi.npy,dc4c80e8a1534ff8a3eb80307341161c,pedestrian_vru,noise_low,1256,30,798,428,0.5205153886434591,0.13288216560509555,124.39389992505312,1080.5142999161035,0.9254852065147541,True
W_BASE+THRESH_A,W_BASE,THRESH_A,dc4c80e8a1534ff8a3eb80307341161c_LIDAR_TOP_xyzi.npy,dc4c80e8a1534ff8a3eb80307341161c,pedestrian_vru,noise_medium,1263,29,803,431,0.5202495231882118,0.13297703879651623,99.68909993767738,934.0495000360534,1.0706070716395661,True
W_BASE+THRESH_A,W_BASE,THRESH_A,dc4c80e8a1534ff8a3eb80307341161c_LIDAR_TOP_xyzi.npy,dc4c80e8a1534ff8a3eb80307341161c,pedestrian_vru,noise_high,1263,30,804,429,0.5206199865824309,0.1327790973871734,156.0121999355033,961.230699904263,1.0403329815616567,True
W_BASE+THRESH_A,W_BASE,THRESH_A,c844bf5a9f2243ff8f4bf2c85fe218ff_LIDAR_TOP_xyzi.npy,c844bf5a9f2243ff8f4bf2c85fe218ff,complex_static,original,1059,37,575,447,0.5132016426504201,0.14046270066100094,95.93040007166564,1021.045200061053,0.979388571573722,True
W_BASE+THRESH_A,W_BASE,THRESH_A,c844bf5a9f2243ff8f4bf2c85fe218ff_LIDAR_TOP_xyzi.npy,c844bf5a9f2243ff8f4bf2c85fe218ff,complex_static,dropout_5pct,1049,36,581,432,0.5139595927555263,0.13946615824594855,99.32050004135817,968.5890000546351,1.032429647604498,True
W_BASE+THRESH_A,W_BASE,THRESH_A,c844bf5a9f2243ff8f4bf2c85fe218ff_LIDAR_TOP_xyzi.npy,c844bf5a9f2243ff8f4bf2c85fe218ff,complex_static,dropout_10pct,1036,36,568,432,0.5131048674472302,0.13996138996139,112.14770004153252,928.3543002093211,1.07717495332819,True
W_BASE+THRESH_A,W_BASE,THRESH_A,c844bf5a9f2243ff8f4bf2c85fe218ff_LIDAR_TOP_xyzi.npy,c844bf5a9f2243ff8f4bf2c85fe218ff,complex_static,dropout_20pct,1011,32,570,409,0.5140011204107077,0.1388724035608309,89.46559997275472,883.6301999399439,1.1316951367981372,True
W_BASE+THRESH_A,W_BASE,THRESH_A,c844bf5a9f2243ff8f4bf2c85fe218ff_LIDAR_TOP_xyzi.npy,c844bf5a9f2243ff8f4bf2c85fe218ff,complex_static,dropout_30pct,969,32,550,387,0.5148119522062694,0.1382868937048504,119.32090006303042,908.0059000989422,1.1013144296650865,True
W_BASE+THRESH_A,W_BASE,THRESH_A,c844bf5a9f2243ff8f4bf2c85fe218ff_LIDAR_TOP_xyzi.npy,c844bf5a9f2243ff8f4bf2c85fe218ff,complex_static,sparse_75pct,989,34,554,401,0.5155833171447102,0.13882709807886756,118.64839994814247,998.4970999648795,1.0015051621433586,True
W_BASE+THRESH_A,W_BASE,THRESH_A,c844bf5a9f2243ff8f4bf2c85fe218ff_LIDAR_TOP_xyzi.npy,c844bf5a9f2243ff8f4bf2c85fe218ff,complex_static,sparse_50pct,887,33,514,340,0.5199934186162531,0.13647125140924465,72.54129997454584,609.945600037463,1.6394904724922676,True
W_BASE+THRESH_A,W_BASE,THRESH_A,c844bf5a9f2243ff8f4bf2c85fe218ff_LIDAR_TOP_xyzi.npy,c844bf5a9f2243ff8f4bf2c85fe218ff,complex_static,sparse_25pct,716,33,442,241,0.5268036984193258,0.13135474860335197,56.20480002835393,370.45460008084774,2.6993861050227497,True
W_BASE+THRESH_A,W_BASE,THRESH_A,c844bf5a9f2243ff8f4bf2c85fe218ff_LIDAR_TOP_xyzi.npy,c844bf5a9f2243ff8f4bf2c85fe218ff,complex_static,noise_low,1058,37,574,447,0.5131156023180007,0.1405009451795841,101.9914000062272,1001.7613000236452,0.9982417966998689,True
W_BASE+THRESH_A,W_BASE,THRESH_A,c844bf5a9f2243ff8f4bf2c85fe218ff_LIDAR_TOP_xyzi.npy,c844bf5a9f2243ff8f4bf2c85fe218ff,complex_static,noise_medium,1055,35,577,443,0.5131340723857827,0.1403317535545024,105.11530004441738,1042.5499000120908,0.9591867017477078,True
W_BASE+THRESH_A,W_BASE,THRESH_A,c844bf5a9f2243ff8f4bf2c85fe218ff_LIDAR_TOP_xyzi.npy,c844bf5a9f2243ff8f4bf2c85fe218ff,complex_static,noise_high,1056,38,574,444,0.5136863526293004,0.14024621212121213,94.61700008250773,1103.1446000561118,0.9064994742748455,True
W_BASE+THRESH_A,W_BASE,THRESH_A,5c85640c10d9485c86bf6eb44778c002_LIDAR_TOP_xyzi.npy,5c85640c10d9485c86bf6eb44778c002,normal,original,509,73,379,57,0.5874286646715852,0.10402750491159136,40.03650008235127,844.776000129059,1.1837457501719117,True
W_BASE+THRESH_A,W_BASE,THRESH_A,5c85640c10d9485c86bf6eb44778c002_LIDAR_TOP_xyzi.npy,5c85640c10d9485c86bf6eb44778c002,normal,dropout_5pct,507,73,378,56,0.5868938991581658,0.10384615384615385,45.906900078989565,738.0705000832677,1.3548841199955586,True
W_BASE+THRESH_A,W_BASE,THRESH_A,5c85640c10d9485c86bf6eb44778c002_LIDAR_TOP_xyzi.npy,5c85640c10d9485c86bf6eb44778c002,normal,dropout_10pct,503,72,378,53,0.5876838520772287,0.10337972166998012,40.08009994868189,722.6565999444574,1.3837831136903183,True
W_BASE+THRESH_A,W_BASE,THRESH_A,5c85640c10d9485c86bf6eb44778c002_LIDAR_TOP_xyzi.npy,5c85640c10d9485c86bf6eb44778c002,normal,dropout_20pct,497,71,374,52,0.5885889715314813,0.10331991951710263,42.63300006277859,639.270499930717,1.564283038413908,True
W_BASE+THRESH_A,W_BASE,THRESH_A,5c85640c10d9485c86bf6eb44778c002_LIDAR_TOP_xyzi.npy,5c85640c10d9485c86bf6eb44778c002,normal,dropout_30pct,492,74,370,48,0.5916407963801347,0.10223577235772358,42.367200017906725,564.618399948813,1.7711077075962414,True
W_BASE+THRESH_A,W_BASE,THRESH_A,5c85640c10d9485c86bf6eb44778c002_LIDAR_TOP_xyzi.npy,5c85640c10d9485c86bf6eb44778c002,normal,sparse_75pct,495,75,369,51,0.5898124498303018,0.10272727272727274,44.260499998927116,626.3751999940723,1.5964872172612572,True
W_BASE+THRESH_A,W_BASE,THRESH_A,5c85640c10d9485c86bf6eb44778c002_LIDAR_TOP_xyzi.npy,5c85640c10d9485c86bf6eb44778c002,normal,sparse_50pct,472,72,353,47,0.5887127690923324,0.10233050847457628,47.994200023822486,614.7338000591844,1.6267203786479993,True
W_BASE+THRESH_A,W_BASE,THRESH_A,5c85640c10d9485c86bf6eb44778c002_LIDAR_TOP_xyzi.npy,5c85640c10d9485c86bf6eb44778c002,normal,sparse_25pct,426,60,320,46,0.5867176707806696,0.10375586854460095,37.282299948856235,269.7661998681724,3.706913618120704,True
