object_or_region_id,frame_id,condition,semantic_class,semantic_source,input_presence,map_presence,point_count,confidence,assigned_resolution,importance
5991fad3280c4f84b331536c32001a04_r389,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,2,,0.05,0.8087712631164842
5991fad3280c4f84b331536c32001a04_r400,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,2,,0.05,0.8131026496372511
5991fad3280c4f84b331536c32001a04_r436,5991fad3280c4f84b331536c32001a04,original,vehicle,annotation,True,True,1,,0.05,0.7755850771171487
5991fad3280c4f84b331536c32001a04_r130,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,2,,0.05,0.7706044319570771
5991fad3280c4f84b331536c32001a04_r133,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,1,,0.1,0.7151267743655736
5991fad3280c4f84b331536c32001a04_r135,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,7,,0.05,0.7642371756870106
5991fad3280c4f84b331536c32001a04_r153,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,76,,0.05,0.8245415807698872
5991fad3280c4f84b331536c32001a04_r154,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,59,,0.05,0.8238639798689182
5991fad3280c4f84b331536c32001a04_r155,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,59,,0.05,0.824971202090536
5991fad3280c4f84b331536c32001a04_r157,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,10,,0.05,0.7982711716179774
5991fad3280c4f84b331536c32001a04_r159,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,15,,0.05,0.7938969069244467
5991fad3280c4f84b331536c32001a04_r160,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,13,,0.05,0.7893689682831342
5991fad3280c4f84b331536c32001a04_r162,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,1,,0.1,0.7438661479703552
5991fad3280c4f84b331536c32001a04_r164,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,1,,0.1,0.7137169805540201
5991fad3280c4f84b331536c32001a04_r165,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,2,,0.1,0.7091826115992872
5991fad3280c4f84b331536c32001a04_r166,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,1,,0.1,0.6779648086006548
5991fad3280c4f84b331536c32001a04_r167,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,1,,0.1,0.6684778281633179
5991fad3280c4f84b331536c32001a04_r170,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,1,,0.1,0.6755601220199215
5991fad3280c4f84b331536c32001a04_r171,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,1,,0.1,0.6776361372237246
5991fad3280c4f84b331536c32001a04_r240,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,4,,0.05,0.7544490234473427
5991fad3280c4f84b331536c32001a04_r311,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,688,,0.05,0.8453270029271571
5991fad3280c4f84b331536c32001a04_r315,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,152,,0.05,0.8318266904448101
5991fad3280c4f84b331536c32001a04_r316,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,80,,0.05,0.8294747603282865
5991fad3280c4f84b331536c32001a04_r319,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,13,,0.05,0.8090755178720979
5991fad3280c4f84b331536c32001a04_r322,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,4,,0.05,0.7889171374389795
5991fad3280c4f84b331536c32001a04_r323,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,2,,0.05,0.7844104798817867
5991fad3280c4f84b331536c32001a04_r326,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,2,,0.1,0.7481302227386698
5991fad3280c4f84b331536c32001a04_r327,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,1,,0.1,0.7476121437152462
5991fad3280c4f84b331536c32001a04_r333,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,1,,0.1,0.6439858159550367
5991fad3280c4f84b331536c32001a04_r342,5991fad3280c4f84b331536c32001a04,dropout_5pct,vehicle,annotation,True,True,15,,0.05,0.781443698535063
